article_id,journal,final_publication_year,source_folder_year,title,doi,source_integrity_status,md_available,word_count,heading_count,has_abstract_heading,has_introduction_heading,has_literature_heading,has_data_sample_heading,has_institution_background_heading,has_method_identification_heading,has_model_framework_heading,has_result_heading,has_robustness_extension_heading,has_mechanism_channel_heading,has_conclusion_heading,has_appendix_support_heading,has_references_heading
767c2af042d365ee,JF,2020,2020,A Macrofinance View of U.S. Sovereign CDS Premiums,10.1111/jofi.12948,original_package_used,True,14181,37,True,False,False,True,False,False,True,True,False,True,True,True,True
684db38accf227b1,JF,2020,2020,A Tale of Two Premiums: The Role of Hedgers and Speculators in Commodity Futures Markets,10.1111/jofi.12845,original_package_used,True,13193,37,True,False,False,True,False,False,False,True,True,False,True,True,True
855ebfd4c5013f2a,JF,2020,2020,Access to Collateral and the Democratization of Credit: France’s Reform of the Napoleonic Security Code,10.1111/jofi.12846,original_package_used,True,16109,44,True,False,False,True,True,True,False,True,True,False,True,True,True
95117a45bc2f73c2,JF,2020,2020,"Bad Credit, No Problem? Credit and Labor Market Consequences of Bad Credit Reports",10.1111/jofi.12954,original_package_used,True,16536,26,True,False,True,True,True,True,False,True,False,False,True,True,True
af844e510a6e6cd4,JF,2020,2020,"Bank Quality, Judicial Efficiency, and Loan Repayment Delays in Italy",10.1111/jofi.12896,original_package_used,True,13339,32,True,False,True,True,False,False,False,True,True,False,True,True,True
610b8d50627d9b62,JF,2020,2020,Beyond Random Assignment: Credible Inference and Extrapolation in Dynamic Economies,10.1111/jofi.12862,original_package_used,True,14061,29,True,False,False,True,False,False,True,True,True,False,True,True,True
627db231a2ac4683,JF,2020,2020,Can Unemployment Insurance Spur Entrepreneurial Activity? Evidence from France,10.1111/jofi.12880,original_package_used,True,14383,40,True,False,True,True,True,True,True,True,True,False,True,True,False
dd18a7a749a0acb7,JF,2020,2020,Cash Flow News and Stock Price Dynamics,10.1111/jofi.12901,original_package_used,True,16093,35,True,False,False,True,False,True,True,True,True,True,True,True,True
fb200eb56080e6d1,JF,2020,2020,Consumption Fluctuations and Expected Returns,10.1111/jofi.12870,original_package_used,True,13089,35,True,False,False,True,False,True,True,True,True,False,True,True,True
7a71b978e4d88e61,JF,2020,2020,Corporate Control around the World,10.1111/jofi.12889,original_package_used,True,14824,47,True,False,False,True,True,True,False,True,True,True,True,True,True
9768a0976e5d4c01,JF,2020,2020,Credit Rating Inflation and Firms’ Investments,10.1111/jofi.12961,original_package_used,True,16448,23,True,False,False,False,False,False,True,True,False,False,True,True,True
f67240e23bbfe2af,JF,2020,2020,Debt Contracting on Management,10.1111/jofi.12893,original_package_used,True,13026,40,True,False,False,True,False,True,False,True,True,False,True,True,True
